SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
6387,3,2007-04-15,2007-04-27,2007-04-22,5,1,SO6387,,10-4030-026924,26924,,9,11516,11516,1,12450,1235904Vi64393,7553,782.99,62.6392,19.5748,865.204,,7BBBD1DA-8ABA-416D-A882-69F17665FF40,2007-04-22
8401,3,2007-08-04,2007-08-16,2007-08-11,5,1,SO8401,,10-4030-025749,25749,,7,16826,16826,1,17194,1037959Vi89229,,742.35,59.388,18.5588,820.2968,,080CE983-7E28-4B18-A329-A48A6541F064,2007-08-11
16908,3,2007-12-23,2008-01-04,2007-12-30,5,1,SO16908,,10-4030-028785,28785,,4,14693,14693,1,8410,1016873Vi43551,10327,34.99,2.7992,0.8748,38.664,,999371CC-6B7C-43D6-968A-99CD87624986,2007-12-30
25864,3,2008-05-01,2008-05-13,2008-05-08,5,0,SO25864,PO4901187436,10-4020-000084,29705,278,6,459,459,5,6452,47085Vi33489,11757,25434.382,2411.975,753.7422,28600.0992,,4EC186F1-25B6-483C-B102-6911B8CAEEDE,2008-05-08
8122,3,2007-08-01,2007-08-13,2007-08-08,5,0,SO8122,PO18560115626,10-4020-000531,30011,279,5,969,969,5,4459,117551Vi23395,,10595.429,1009.6295,315.5092,11920.5677,,FC6AD488-1C9B-4F4E-A37D-903B286875DD,2007-08-08
17799,3,2008-01-04,2008-01-16,2008-01-11,5,1,SO17799,,10-4030-015516,15516,,4,26190,26190,1,11209,1225439Vi57825,,7.28,0.5824,0.182,8.0444,,DD997A45-0ECB-4E6B-AC74-3268A2E00AF3,2008-01-11
25219,3,2008-04-23,2008-05-05,2008-04-30,5,1,SO25219,,10-4030-025453,25453,,10,18251,18251,1,1882,1142035Vi9767,11672,1170.48,93.6384,29.262,1293.3804,,BBD524CA-66A9-43BF-B116-C200348BEB1F,2008-04-30
20298,3,2008-02-11,2008-02-23,2008-02-18,5,1,SO20298,,10-4030-022396,22396,,10,18888,18888,1,7686,819636Vi39811,10880,1725.98,138.0784,43.1495,1907.2079,,097E67AE-5ECE-4F03-AABF-D8A342335E70,2008-02-18
22292,3,2008-03-11,2008-03-23,2008-03-18,5,1,SO22292,,10-4030-018139,18139,,8,29629,29629,1,,,,2356.95,188.556,58.9238,2604.4298,,EE64B233-2444-446D-A199-1BA009CD7515,2008-03-18
23155,3,2008-03-24,2008-04-05,2008-03-31,5,1,SO23155,,10-4030-015778,15778,,1,26384,236,1,8261,736703Vi42806,,2394.97,191.5976,59.8743,2646.4419,,79A5DDBB-1F53-4CE5-A7FB-AC67BD734B95,2008-03-31
